concept_id_1,concept_name_1,concept_class_id_1,concept_code_1,vocabulary_id_1,relationship_id,concept_id_2,concept_name_2,concept_class_id_2,concept_code_2,vocabulary_id_2
19000017,Fentora,Brand Name,668619,RxNorm,Has precise ing,19012125,fentanyl citrate,Precise Ingredient,142436,RxNorm
19021569,Duragesic,Brand Name,151678,RxNorm,Has precise ing,19012125,fentanyl citrate,Precise Ingredient,142436,RxNorm
19054036,Sublimaze,Brand Name,4336,RxNorm,Has precise ing,19012125,fentanyl citrate,Precise Ingredient,142436,RxNorm
40233228,Abstral,Brand Name,1053648,RxNorm,Has precise ing,19012125,fentanyl citrate,Precise Ingredient,142436,RxNorm
40240975,Lazanda,Brand Name,1115547,RxNorm,Has precise ing,19012125,fentanyl citrate,Precise Ingredient,142436,RxNorm
19000100,Medihaler-Epi,Brand Name,6687,RxNorm,Has precise ing,19026769,epinephrine bitartrate,Precise Ingredient,203180,RxNorm
19006631,Septocaine,Brand Name,285091,RxNorm,Has precise ing,19026769,epinephrine bitartrate,Precise Ingredient,203180,RxNorm
19020906,Xylocaine with Epinephrine,Brand Name,746946,RxNorm,Has precise ing,19026769,epinephrine bitartrate,Precise Ingredient,203180,RxNorm
19058669,Citanest Forte,Brand Name,216066,RxNorm,Has precise ing,19026769,epinephrine bitartrate,Precise Ingredient,203180,RxNorm
19079942,Zorcaine,Brand Name,584570,RxNorm,Has precise ing,19026769,epinephrine bitartrate,Precise Ingredient,203180,RxNorm
36218275,Fentora Oral Product,Branded Dose Group,1166500,RxNorm,Has brand name,19000017,Fentora,Brand Name,668619,RxNorm
36218276,Fentora Pill,Branded Dose Group,1166501,RxNorm,Has brand name,19000017,Fentora,Brand Name,668619,RxNorm
36244435,Fentora Buccal Product,Branded Dose Group,1296911,RxNorm,Has brand name,19000017,Fentora,Brand Name,668619,RxNorm
36243187,Veracolate Oral Product,Branded Dose Group,1187880,RxNorm,Has brand name,19000090,Veracolate,Brand Name,668693,RxNorm
36243188,Veracolate Pill,Branded Dose Group,1187881,RxNorm,Has brand name,19000090,Veracolate,Brand Name,668693,RxNorm
36240591,Medihaler-Epi Inhalant Product,Branded Dose Group,1183287,RxNorm,Has brand name,19000100,Medihaler-Epi,Brand Name,6687,RxNorm
36231171,Micronefrin Inhalant Product,Branded Dose Group,1178084,RxNorm,Has brand name,19000150,Micronefrin,Brand Name,66886,RxNorm
36222880,Brovana Inhalant Product,Branded Dose Group,1167345,RxNorm,Has brand name,19000494,Brovana,Brand Name,669390,RxNorm
36229101,Lariam Oral Product,Branded Dose Group,1175640,RxNorm,Has brand name,19044732,Lariam,Brand Name,202989,RxNorm
36229102,Lariam Pill,Branded Dose Group,1175641,RxNorm,Has brand name,19044732,Lariam,Brand Name,202989,RxNorm
35200109,Relexxii Oral Product,Branded Dose Group,2052824,RxNorm,Has dose form group,36217214,Oral Product,Dose Form Group,1151131,RxNorm
35200120,Sucrets Sore Throat Oral Product,Branded Dose Group,2052924,RxNorm,Has dose form group,36217214,Oral Product,Dose Form Group,1151131,RxNorm
35200229,Arakoda Oral Product,Branded Dose Group,2054100,RxNorm,Has dose form group,36217214,Oral Product,Dose Form Group,1151131,RxNorm
35200276,Galafold Oral Product,Branded Dose Group,2054261,RxNorm,Has dose form group,36217214,Oral Product,Dose Form Group,1151131,RxNorm
35200295,Diacomit Oral Product,Branded Dose Group,2054977,RxNorm,Has dose form group,36217214,Oral Product,Dose Form Group,1151131,RxNorm
35200311,Mulpleta Oral Product,Branded Dose Group,2054993,RxNorm,Has dose form group,36217214,Oral Product,Dose Form Group,1151131,RxNorm
35200363,Tpoxx Oral Product,Branded Dose Group,2055113,RxNorm,Has dose form group,36217214,Oral Product,Dose Form Group,1151131,RxNorm
35200455,Pifeltro Oral Product,Branded Dose Group,2055764,RxNorm,Has dose form group,36217214,Oral Product,Dose Form Group,1151131,RxNorm
35200460,Delstrigo Oral Product,Branded Dose Group,2055777,RxNorm,Has dose form group,36217214,Oral Product,Dose Form Group,1151131,RxNorm
35200502,Luden's Dual Relief Oral Product,Branded Dose Group,2056068,RxNorm,Has dose form group,36217214,Oral Product,Dose Form Group,1151131,RxNorm
41250530,Immunoglobulin G 50 MG/ML Injectable Solution [Gamma Venin],Branded Drug,OMOP2448492,RxNorm Extension,Available as box,41000661,Immunoglobulin G 50 MG/ML Injectable Solution [Gamma Venin] Box of 1,Branded Drug Box,OMOP2198623,RxNorm Extension
41312689,Immunoglobulin G 25 MG/ML Injectable Solution [Gamma Venin],Branded Drug,OMOP2510651,RxNorm Extension,Available as box,41281349,Immunoglobulin G 25 MG/ML Injectable Solution [Gamma Venin] Box of 1,Branded Drug Box,OMOP2479311,RxNorm Extension
41312692,Immunoglobulin G 50 MG/ML Injectable Suspension [Gamma Venin],Branded Drug,OMOP2510654,RxNorm Extension,Available as box,40969338,Immunoglobulin G 50 MG/ML Injectable Suspension [Gamma Venin] Box of 1,Branded Drug Box,OMOP2167300,RxNorm Extension
41026014,Verapamil 120 MG Oral Tablet [Veranorm Isis],Branded Drug,OMOP2223976,RxNorm Extension,Available as box,41182568,Verapamil 120 MG Oral Tablet [Veranorm Isis] Box of 20,Branded Drug Box,OMOP2380530,RxNorm Extension
40901275,Verapamil 80 MG Oral Tablet [Veranorm Isis],Branded Drug,OMOP2099237,RxNorm Extension,Available as box,41182492,Verapamil 80 MG Oral Tablet [Veranorm Isis] Box of 100,Branded Drug Box,OMOP2380454,RxNorm Extension
40839071,Verapamil 80 MG Extended Release Oral Tablet [Veranorm Isis],Branded Drug,OMOP2037033,RxNorm Extension,Available as box,41151436,Verapamil 80 MG Extended Release Oral Tablet [Veranorm Isis] Box of 500,Branded Drug Box,OMOP2349398,RxNorm Extension
40901275,Verapamil 80 MG Oral Tablet [Veranorm Isis],Branded Drug,OMOP2099237,RxNorm Extension,Available as box,40963612,Verapamil 80 MG Oral Tablet [Veranorm Isis] Box of 500,Branded Drug Box,OMOP2161574,RxNorm Extension
40932400,Verapamil 120 MG Extended Release Oral Tablet [Veranorm Isis],Branded Drug,OMOP2130362,RxNorm Extension,Available as box,41119897,Verapamil 120 MG Extended Release Oral Tablet [Veranorm Isis] Box of 100,Branded Drug Box,OMOP2317859,RxNorm Extension
40839071,Verapamil 80 MG Extended Release Oral Tablet [Veranorm Isis],Branded Drug,OMOP2037033,RxNorm Extension,Available as box,40870156,Verapamil 80 MG Extended Release Oral Tablet [Veranorm Isis] Box of 50,Branded Drug Box,OMOP2068118,RxNorm Extension
40870180,Verapamil 40 MG Extended Release Oral Tablet [Veranorm Isis],Branded Drug,OMOP2068142,RxNorm Extension,Available as box,41088657,Verapamil 40 MG Extended Release Oral Tablet [Veranorm Isis] Box of 100,Branded Drug Box,OMOP2286619,RxNorm Extension
43267468,Nicotine 1.5 MG Oral Lozenge [Nicabate],Branded Drug,OMOP540094,RxNorm Extension,Available as box,36065633,nicotine 1.5 MG Oral Lozenge Box of 100,Clinical Drug Box,OMOP4991972,RxNorm Extension
41214035,Valproate 500 MG Extended Release Oral Capsule [Convulex],Branded Drug,OMOP2411997,RxNorm Extension,Available as box,42657779,Valproate 500 MG Extended Release Oral Capsule Box of 30,Clinical Drug Box,OMOP4869346,RxNorm Extension
36260516,doxorubicin liposome 2 MG/ML Intravenous Suspension [Caelyx],Branded Drug,OMOP3111391,RxNorm Extension,Available as box,782941,doxorubicin liposome 2 MG/ML Intravenous Suspension Box of 1,Clinical Drug Box,OMOP4830769,RxNorm Extension
21099401,fluticasone 0.25 MG/ACTUAT Inhalant Solution [Flixotide],Branded Drug,OMOP354631,RxNorm Extension,Available as box,782463,fluticasone 0.25 MG/ACTUAT Inhalation Solution Box of 1,Clinical Drug Box,OMOP4830297,RxNorm Extension
43856886,Somatropin 3.33 MG/ML Injectable Solution [Genotropin Miniquick],Branded Drug,OMOP669170,RxNorm Extension,Available as box,782510,Somatropin 3.33 MG/ML Injectable Solution Box of 10,Clinical Drug Box,OMOP4830344,RxNorm Extension
21070052,fluticasone 0.05 MG/ACTUAT Inhalant Solution [Flixotide],Branded Drug,OMOP355350,RxNorm Extension,Available as box,782466,fluticasone 0.05 MG/ACTUAT Inhalation Solution Box of 1,Clinical Drug Box,OMOP4830300,RxNorm Extension
21168328,Nitrous Oxide 50 % / Oxygen 50 % Gas for Inhalation [ENTONOX],Branded Drug,OMOP376094,RxNorm Extension,Available as box,36812877,Nitrous Oxide 50 % / Oxygen 50 % Gas for Inhalation [ENTONOX] Box of 1,Quant Branded Box,OMOP4826912,RxNorm Extension
21024912,Clotrimazole 200 MG Vaginal Ring [Canesten],Branded Drug,OMOP396194,RxNorm Extension,Constitutes,36069732,clotrimazole 200 MG Vaginal Suppository [Canesten],Branded Drug,OMOP4996462,RxNorm Extension
21053481,Nystatin 100000 UNT Vaginal Ring [Nystan],Branded Drug,OMOP380833,RxNorm Extension,Constitutes,36058269,nystatin 100000 UNT Vaginal Suppository [Nystan],Branded Drug,OMOP4983879,RxNorm Extension
21054071,Dinoprostone 3 MG Vaginal Ring [Prostin E2],Branded Drug,OMOP391971,RxNorm Extension,Constitutes,36074939,dinoprostone 3 MG Vaginal Suppository [Prostin E2],Branded Drug,OMOP4992949,RxNorm Extension
21054308,Clotrimazole 500 MG Vaginal Ring [Abtrim],Branded Drug,OMOP396238,RxNorm Extension,Constitutes,36075257,clotrimazole 500 MG Vaginal Suppository [Abtrim],Branded Drug,OMOP4996413,RxNorm Extension
21086348,Estriol 0.5 MG Vaginal Ring [Ortho-Gynest],Branded Drug,OMOP277528,RxNorm Extension,Constitutes,36074283,estriol 0.5 MG Vaginal Suppository [Ortho-Gynest],Branded Drug,OMOP4985911,RxNorm Extension
21130497,Miconazole 100 MG Vaginal Ring [Gyno-Daktarin],Branded Drug,OMOP357056,RxNorm Extension,Constitutes,36058782,miconazole 100 MG Vaginal Suppository [Gyno-Daktarin],Branded Drug,OMOP4984433,RxNorm Extension
21134036,Nonoxynol-9 0.05 MG/MG Vaginal Ring [Orthoforms],Branded Drug,OMOP255121,RxNorm Extension,Constitutes,36057040,nonoxynol-9 0.05 MG/MG Vaginal Suppository [Orthoforms],Branded Drug,OMOP4982516,RxNorm Extension
35135838,Metronidazole 250 MG Vaginal Ring [Asuzol],Branded Drug,OMOP4793025,RxNorm Extension,Constitutes,35830197,metronidazole 250 MG Vaginal Cream [Asuzol],Branded Drug,OMOP5037923,RxNorm Extension
35155684,oxiconazole 100 MG Vaginal Ring [Okinazole],Branded Drug,OMOP4812699,RxNorm Extension,Constitutes,35829588,oxiconazole 100 MG Vaginal Cream [Okinazole],Branded Drug,OMOP5039060,RxNorm Extension
35157320,oxiconazole 600 MG Vaginal Ring [Okinazole],Branded Drug,OMOP4814326,RxNorm Extension,Constitutes,35829587,oxiconazole 600 MG Vaginal Cream [Okinazole],Branded Drug,OMOP5039062,RxNorm Extension
35408436,fludarabine 5 MG/ML Prefilled Syringe [Fludara],Branded Drug,OMOP1142021,RxNorm Extension,Constitutes,43031862,fludarabine 5 MG/ML Injectable Solution,Clinical Drug,OMOP4846919,RxNorm Extension
43215942,alteplase 0.5 MG/ML Prefilled Syringe [Actilyse],Branded Drug,OMOP484795,RxNorm Extension,Constitutes,43028533,alteplase 0.5 MG/ML Injectable Solution,Clinical Drug,OMOP4843615,RxNorm Extension
43161167,alteplase 0.2 MG/ML Prefilled Syringe [Actilyse],Branded Drug,OMOP484803,RxNorm Extension,Constitutes,43028536,alteplase 0.2 MG/ML Injectable Solution,Clinical Drug,OMOP4843618,RxNorm Extension
43162141,irinotecan 17.3 MG/ML Prefilled Syringe [Campto],Branded Drug,OMOP493603,RxNorm Extension,Constitutes,43029805,irinotecan 17.3 MG/ML Injectable Solution,Clinical Drug,OMOP4844876,RxNorm Extension
43156482,thiocolchicoside 2 MG/ML Prefilled Syringe [Mio-Rel],Branded Drug,OMOP443275,RxNorm Extension,Constitutes,43035312,thiocolchicoside 2 MG/ML Injectable Solution,Clinical Drug,OMOP4850358,RxNorm Extension
43707554,sodium phosphate 542 MG/ML Oral Solution [Fleet Phospho-Soda],Branded Drug,OMOP701805,RxNorm Extension,Constitutes,43032364,"sodium phosphate 542 MG/ML / Sodium Phosphate, Monobasic 240 MG/ML Oral Solution",Clinical Drug,OMOP4847416,RxNorm Extension
36885069,sodium phosphate 391 MG/ML Oral Solution [Fleet Phospho-Soda],Branded Drug,OMOP1001364,RxNorm Extension,Constitutes,43032368,"sodium phosphate 391 MG/ML / Sodium Phosphate, Monobasic 96.4 MG/ML Oral Solution",Clinical Drug,OMOP4847420,RxNorm Extension
19125147,fentanyl 0.8 MG Buccal Tablet [Fentora],Branded Drug,668630,RxNorm,Has brand name,19000017,Fentora,Brand Name,668619,RxNorm
19126623,fentanyl 0.3 MG Buccal Tablet [Fentora],Branded Drug,706900,RxNorm,Has brand name,19000017,Fentora,Brand Name,668619,RxNorm
1154314,fentanyl 0.2 MG Buccal Tablet [Fentora],Branded Drug,668624,RxNorm,Has brand name,19000017,Fentora,Brand Name,668619,RxNorm
1154313,fentanyl 0.1 MG Buccal Tablet [Fentora],Branded Drug,668622,RxNorm,Has brand name,19000017,Fentora,Brand Name,668619,RxNorm
1154316,fentanyl 0.6 MG Buccal Tablet [Fentora],Branded Drug,668628,RxNorm,Has brand name,19000017,Fentora,Brand Name,668619,RxNorm
1154315,fentanyl 0.4 MG Buccal Tablet [Fentora],Branded Drug,668626,RxNorm,Has brand name,19000017,Fentora,Brand Name,668619,RxNorm
925048,bisacodyl 5 MG Delayed Release Oral Tablet [Veracolate],Branded Drug,668696,RxNorm,Has brand name,19000090,Veracolate,Brand Name,668693,RxNorm
42903346,epinephrine 0.16 MG/ACTUAT Metered Dose Inhaler [Medihaler-Epi],Branded Drug,1360459,RxNorm,Has brand name,19000100,Medihaler-Epi,Brand Name,6687,RxNorm
19047032,racepinephrine 22.5 MG/ML Inhalation Solution [Micronefrin],Branded Drug,212350,RxNorm,Has brand name,19000150,Micronefrin,Brand Name,66886,RxNorm
1111243,arformoterol 0.0075 MG/ML Inhalation Solution [Brovana],Branded Drug,695935,RxNorm,Has brand name,19000494,Brovana,Brand Name,669390,RxNorm
21070056,fluticasone 0.11 MG/ACTUAT Inhalant Solution [Flixotide],Branded Drug,OMOP356164,RxNorm Extension,Has marketed form,21050279,fluticasone 0.1 MG/ACTUAT Inhalant Solution [Flixotide],Branded Drug,OMOP356222,RxNorm Extension
35775496,Fenofibrate 160 MG Delayed Release Oral Tablet [Supralip],Branded Drug,OMOP2776957,RxNorm Extension,Has marketed form,35756416,Fenofibrate 150 MG Delayed Release Oral Tablet [Supralip],Branded Drug,OMOP2757877,RxNorm Extension
35775496,Fenofibrate 160 MG Delayed Release Oral Tablet [Supralip],Branded Drug,OMOP2776957,RxNorm Extension,Has marketed form,35768897,Fenofibrate 150 MG Delayed Release Oral Tablet [Supralip] Box of 28,Branded Drug Box,OMOP2770358,RxNorm Extension
35775496,Fenofibrate 160 MG Delayed Release Oral Tablet [Supralip],Branded Drug,OMOP2776957,RxNorm Extension,Has marketed form,35756415,Fenofibrate 160 MG Delayed Release Oral Tablet [Supralip] Box of 30,Branded Drug Box,OMOP2757876,RxNorm Extension
41312692,Immunoglobulin G 50 MG/ML Injectable Suspension [Gamma Venin],Branded Drug,OMOP2510654,RxNorm Extension,Has marketed form,44192508,10 ML Immunoglobulin G 50 MG/ML Injectable Suspension [Gamma Venin] Box of 1 by Boehringer Ingelheim,Marketed Product,OMOP3069231,RxNorm Extension
41250530,Immunoglobulin G 50 MG/ML Injectable Solution [Gamma Venin],Branded Drug,OMOP2448492,RxNorm Extension,Has marketed form,41356445,5 ML Immunoglobulin G 50 MG/ML Injectable Solution [Gamma Venin] Box of 1 by Boehringer Ingelheim,Marketed Product,OMOP2554407,RxNorm Extension
41250530,Immunoglobulin G 50 MG/ML Injectable Solution [Gamma Venin],Branded Drug,OMOP2448492,RxNorm Extension,Has marketed form,44199391,200 ML Immunoglobulin G 50 MG/ML Injectable Solution [Gamma Venin] Box of 1 by Boehringer Ingelheim,Marketed Product,OMOP3076114,RxNorm Extension
41250530,Immunoglobulin G 50 MG/ML Injectable Solution [Gamma Venin],Branded Drug,OMOP2448492,RxNorm Extension,Has marketed form,41424095,100 ML Immunoglobulin G 50 MG/ML Injectable Solution [Gamma Venin] Box of 1 by Boehringer Ingelheim,Marketed Product,OMOP2622057,RxNorm Extension
41250530,Immunoglobulin G 50 MG/ML Injectable Solution [Gamma Venin],Branded Drug,OMOP2448492,RxNorm Extension,Has marketed form,41364935,10 ML Immunoglobulin G 50 MG/ML Injectable Solution [Gamma Venin] Box of 1 by Boehringer Ingelheim,Marketed Product,OMOP2562897,RxNorm Extension
41312692,Immunoglobulin G 50 MG/ML Injectable Suspension [Gamma Venin],Branded Drug,OMOP2510654,RxNorm Extension,Has marketed form,41433110,200 ML Immunoglobulin G 50 MG/ML Injectable Suspension [Gamma Venin] Box of 1 by Boehringer Ingelheim,Marketed Product,OMOP2631072,RxNorm Extension
41312692,Immunoglobulin G 50 MG/ML Injectable Suspension [Gamma Venin],Branded Drug,OMOP2510654,RxNorm Extension,Has marketed form,44191887,5 ML Immunoglobulin G 50 MG/ML Injectable Suspension [Gamma Venin] Box of 1 by Boehringer Ingelheim,Marketed Product,OMOP3068610,RxNorm Extension
43710834,Morphine 10 MG Extended Release Oral Tablet [Morphinsulfat Abz],Branded Drug,OMOP942778,RxNorm Extension,Has marketed form,43602866,Morphine 10 MG Extended Release Oral Tablet [Morphinsulfat Abz] by AbZ-Pharma,Marketed Product,OMOP942779,RxNorm Extension
43692910,Morphine 100 MG Extended Release Oral Tablet [Morphinsulfat Abz],Branded Drug,OMOP942607,RxNorm Extension,Has marketed form,43746744,Morphine 100 MG Extended Release Oral Tablet [Morphinsulfat Abz] by AbZ-Pharma,Marketed Product,OMOP942608,RxNorm Extension
