tourney_id,tourney_name,tourney_date,match_num,winner_id,winner_name,winner_hand,winner_ioc,loser_id,loser_name,loser_hand,loser_ioc,score,round,tourney_year
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,1,200001,Martina Hingis,R,SUI,200037,Sabine Appelmans,L,BEL,6-0 6-4,R128,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,2,200018,Julia Abe,R,GER,200666,Marion Maruska,R,AUT,1-6 6-3 6-4,R128,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,3,200020,Lisa Raymond,R,USA,200764,Elena Bovina,R,RUS,6-4 6-2,R128,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,4,200060,Tathiana Garbin,R,ITA,200657,Radka Bobkova,R,CZE,6-1 6-2,R128,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,5,200044,Denisa Chladkova,R,CZE,200012,Jana Nejedly,R,CAN,6-3 6-4,R128,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,6,200086,Magdalena Maleeva,R,BUL,200040,Anna Smashnova,R,ISR,6-3 6-4,R128,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,7,200059,Ruxandra Dragomir Ilie,R,ROU,200006,Karina Habsudova,R,SVK,6-1 6-4,R128,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,8,200046,Meghann Shaughnessy,R,USA,200112,Julie Halard Decugis,R,FRA,7-5 6-4,R128,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,9,200110,Fabiola Zuluaga,R,COL,200077,Jennifer Capriati,R,USA,6-3 7-5,R128,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,10,200015,Petra Mandula,R,HUN,200063,Tatiana Panova,R,RUS,6-2 6-4,R128,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,11,200116,Natalia Zvereva,R,BLR,200107,Paola Suarez,R,ARG,1-6 6-1 6-4,R128,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,12,200042,Els Callens,R,BEL,200765,Katalin Marosi,R,HUN,6-3 6-1,R128,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,13,200089,Miriam Oremans,R,NED,200682,Joannette Kruger,R,RSA,5-7 6-4 6-1,R128,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,14,200039,Chanda Rubin,R,USA,200092,Sandra Nacuk,R,SCG,6-1 7-5,R128,2000
2000-W-SL-FRA-01A-2000,Roland Garros,2000-05-29,15,200026,Florencia Labat,L,ARG,200083,Alexandra Stevenson,R,USA,7-6(5) 6-2,R128,2000
