tourney_id,tourney_name,tourney_date,match_num,winner_id,winner_name,winner_hand,winner_ioc,loser_id,loser_name,loser_hand,loser_ioc,score,round,tourney_year
2000-520,Roland Garros,2000-05-29,1,101736,Andre Agassi,R,USA,102179,Antony Dupuis,R,FRA,7-6(7) 6-3 6-4,R128,2000
2000-520,Roland Garros,2000-05-29,2,102344,Karol Kucera,R,SVK,103202,Oscar Serrano,R,ESP,6-1 6-2 6-1,R128,2000
2000-520,Roland Garros,2000-05-29,3,103181,Jiri Vanek,R,CZE,102238,Alberto Berasategui,R,ESP,6-1 6-1 6-7(5) 5-7 6-1,R128,2000
2000-520,Roland Garros,2000-05-29,4,102644,Franco Squillari,L,ARG,102880,Alexander Popp,R,GER,3-6 6-3 6-2 6-0,R128,2000
2000-520,Roland Garros,2000-05-29,5,103454,Nicolas Massu,R,CHI,102831,Jacobo Diaz,R,ESP,6-4 6-3 6-3,R128,2000
2000-520,Roland Garros,2000-05-29,6,101727,Jason Stoltenberg,R,AUS,102562,Jiri Novak,R,CZE,6-4 6-3 3-6 6-1,R128,2000
2000-520,Roland Garros,2000-05-29,7,103428,Juan Ignacio Chela,R,ARG,101774,Todd Martin,R,USA,4-6 6-3 6-4 6-4,R128,2000
2000-520,Roland Garros,2000-05-29,8,101962,Younes El Aynaoui,R,MAR,103444,Jean Rene Lisnard,R,MON,3-6 2-6 6-4 6-3 6-1,R128,2000
2000-520,Roland Garros,2000-05-29,9,103720,Lleyton Hewitt,R,AUS,101543,Jeff Tarango,L,USA,7-6(5) 7-6(3) 6-3,R128,2000
2000-520,Roland Garros,2000-05-29,10,103082,Markus Hantschk,R,GER,102184,David Prinosil,R,GER,6-2 6-7(7) 7-6(5) 6-4,R128,2000
2000-520,Roland Garros,2000-05-29,11,102722,Attila Savolt,R,HUN,101675,Martin Rodriguez,R,ARG,3-6 3-6 6-4 6-4 6-2,R128,2000
2000-520,Roland Garros,2000-05-29,12,102905,Stefan Koubek,L,AUT,102869,Galo Blanco,R,ESP,6-3 1-6 7-6(5) 6-2,R128,2000
2000-520,Roland Garros,2000-05-29,13,102610,Albert Costa,R,ESP,101964,Goran Ivanisevic,L,CRO,6-3 6-3 6-0,R128,2000
2000-520,Roland Garros,2000-05-29,14,102024,Hernan Gumy,R,ARG,102845,Carlos Moya,R,ESP,7-6(4) 6-2 4-6 3-6 6-3,R128,2000
2000-520,Roland Garros,2000-05-29,15,103292,Gaston Gaudio,R,ARG,103324,Arnaud Di Pasquale,R,FRA,6-2 6-3 6-2,R128,2000
2000-520,Roland Garros,2000-05-29,16,102358,Thomas Enqvist,R,SWE,103294,Christophe Rochus,R,BEL,6-2 6-0 6-0,R128,2000
2000-520,Roland Garros,2000-05-29,17,102796,Magnus Norman,R,SWE,101945,Thierry Guardiola,R,FRA,6-4 6-4 6-0,R128,2000
2000-520,Roland Garros,2000-05-29,18,102148,Fabrice Santoro,R,FRA,101320,Magnus Gustafsson,R,SWE,6-3 3-6 6-4 6-4,R128,2000
2000-520,Roland Garros,2000-05-29,19,102227,Sargis Sargsian,R,ARM,102854,Sjeng Schalken,R,NED,5-7 3-6 7-6(1) 6-3 6-2,R128,2000
2000-520,Roland Garros,2000-05-29,20,103096,Arnaud Clement,R,FRA,102765,Nicolas Escude,R,FRA,7-6(6) 6-4 6-0,R128,2000
2000-520,Roland Garros,2000-05-29,21,102446,Andrei Medvedev,R,UKR,102025,Mikael Tillstrom,R,SWE,1-6 7-6(7) 7-6(5) 6-2,R128,2000
2000-520,Roland Garros,2000-05-29,22,101820,Marc Rosset,R,SUI,101647,Byron Black,R,ZIM,7-5 7-5 6-0,R128,2000
2000-520,Roland Garros,2000-05-29,23,102860,Agustin Calleri,R,ARG,102456,Felix Mantilla,R,ESP,6-2 6-3 6-4,R128,2000
